summary_type,domain,metric,source_anchor_pct,target_anchor_pct,pair_label,pair_count,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd,paired_source_anchor_pct,paired_target_anchor_pct,paired_pair_label,paired_frozen_basis,paired_delta_fb_minus_ts,forward_minus_backward_frozen,forward_minus_backward_delta
adjacent_symmetry,math,auroc,40,70,40->70,1,0.957682,0.95826,0.959111,-0.000578,-0.001429,70,40,70->40,0.942584,-0.003043,0.015098000000000056,0.002465
adjacent_symmetry,math,auroc,70,100,70->100,1,0.965791,0.965784,0.966757,7e-06,-0.000966,100,70,100->70,0.956144,-0.002116,0.009646999999999961,0.002123
adjacent_symmetry,math,selacc@10%,10,40,10->40,1,0.996104,0.996104,0.997403,0.0,-0.001299,40,10,40->10,0.997403,-0.001298,-0.0012990000000000501,0.001298
adjacent_symmetry,math,selacc@10%,40,70,40->70,1,0.998701,0.998701,0.998701,0.0,0.0,70,40,70->40,0.996104,0.0,0.0025969999999999605,0.0
adjacent_symmetry,math,selacc@10%,70,100,70->100,1,0.998701,0.998701,0.998701,0.0,0.0,100,70,100->70,0.998701,0.0,0.0,0.0
adjacent_symmetry,math,stop_acc,10,40,10->40,1,0.766667,0.766667,0.758333,0.0,0.008334,40,10,40->10,0.716667,-0.016666,0.04999999999999993,0.016666
adjacent_symmetry,math,stop_acc,40,70,40->70,1,0.766667,0.766667,0.775,0.0,-0.008333,70,40,70->40,0.75,-0.016667,0.016666999999999987,0.016667
adjacent_symmetry,math,stop_acc,70,100,70->100,1,0.791667,0.8,0.8,-0.008333,-0.008333,100,70,100->70,0.766667,0.0,0.025000000000000022,-0.008333
adjacent_symmetry,science,auroc,10,40,10->40,1,0.721508,0.746794,0.743547,-0.025286,-0.022039,40,10,40->10,0.675636,-0.007838,0.045872000000000024,-0.017447999999999998
adjacent_symmetry,science,auroc,40,70,40->70,1,0.74405,0.761127,0.760517,-0.017077,-0.016467,70,40,70->40,0.736207,-0.010587,0.007843000000000044,-0.006489999999999999
adjacent_symmetry,science,auroc,70,100,70->100,1,0.757664,0.773071,0.779804,-0.015407,-0.02214,100,70,100->70,0.760251,-0.000876,-0.002587000000000006,-0.014531
adjacent_symmetry,science,selacc@10%,10,40,10->40,1,0.911362,0.938406,0.940806,-0.027044,-0.029444,40,10,40->10,0.760456,-0.057469,0.15090599999999998,0.030425
adjacent_symmetry,science,selacc@10%,40,70,40->70,1,0.9638,0.95805,0.955669,0.00575,0.008131,70,40,70->40,0.944044,0.005638,0.019755999999999996,0.00011200000000000012
adjacent_symmetry,science,selacc@10%,70,100,70->100,1,0.9763,0.970012,0.981062,0.006288,-0.004762,100,70,100->70,0.953306,-0.004744,0.02299399999999996,0.011032
adjacent_symmetry,science,stop_acc,10,40,10->40,1,0.631795,0.646795,0.652051,-0.015,-0.020256,40,10,40->10,0.611282,-0.035769,0.020513000000000003,0.020769000000000003
adjacent_symmetry,science,stop_acc,40,70,40->70,1,0.657179,0.652179,0.631795,0.005,0.025384,70,40,70->40,0.621795,-0.025,0.03538399999999997,0.030000000000000002
adjacent_symmetry,science,stop_acc,70,100,70->100,1,0.647051,0.667436,0.631923,-0.020385,0.015128,100,70,100->70,0.642308,-0.009871,0.004743000000000053,-0.010514
