summary_type,domain,metric,source_anchor_pct,target_anchor_pct,gap_pct,direction,pair_count,pair_label,frozen_basis,task_specific,no_svd,delta_fb_minus_ts,delta_fb_minus_nosvd
gap_mean,math,auroc,,,70,combined,6,,0.9342820000000001,0.9411243333333332,0.9419528333333332,-0.006842333333333333,-0.007670833333333334
gap_mean,math,auroc,,,80,combined,4,,0.92765725,0.9372315,0.9379375,-0.00957425,-0.010280250000000001
gap_mean,math,auroc,,,90,combined,2,,0.9170705,0.930585,0.931565,-0.013514499999999999,-0.0144945
gap_mean,math,selacc@10%,,,10,combined,18,,0.9981240000000001,0.9979796666666666,0.9984125555555556,0.00014433333333333334,-0.00028855555555555557
gap_mean,math,selacc@10%,,,20,combined,16,,0.9978085,0.9978894999999999,0.9983765,-8.099999999999998e-05,-0.000568
gap_mean,math,selacc@10%,,,30,combined,14,,0.997959142857143,0.9979590714285715,0.9984228571428574,7.142857142858091e-08,-0.00046371428571428567
gap_mean,math,selacc@10%,,,40,combined,12,,0.9981600833333335,0.9980518333333336,0.9984846666666667,0.00010825,-0.00032458333333333335
gap_mean,math,selacc@10%,,,50,combined,10,,0.9983115,0.9980518,0.9984414000000001,0.00025969999999999997,-0.0001299
gap_mean,math,selacc@10%,,,60,combined,8,,0.998051875,0.9980517499999999,0.9983765,1.250000000000166e-07,-0.000324625
gap_mean,math,selacc@10%,,,70,combined,6,,0.9978353333333333,0.9982681666666666,0.9984846666666667,-0.0004328333333333333,-0.0006493333333333334
gap_mean,math,selacc@10%,,,80,combined,4,,0.9983765,0.998701,0.998701,-0.0003245,-0.0003245
gap_mean,math,selacc@10%,,,90,combined,2,,0.9980519999999999,0.998701,0.998701,-0.000649,-0.000649
gap_mean,math,stop_acc,,,10,combined,18,,0.7606480555555556,0.7629630555555557,0.758333388888889,-0.0023150000000000002,0.0023146666666666667
gap_mean,math,stop_acc,,,20,combined,16,,0.7598958125,0.762500125,0.7578125625000001,-0.0026043125000000003,0.00208325
gap_mean,math,stop_acc,,,30,combined,14,,0.7559524285714285,0.7613096428571428,0.7571429285714286,-0.005357214285714286,-0.0011905000000000002
gap_mean,math,stop_acc,,,40,combined,12,,0.7576388333333334,0.76041675,0.7555556666666666,-0.002777916666666667,0.0020831666666666668
